Date,Revenue,Net_Income,Total_Equity,Operating_CF,CapEx,Ticker
2006-06-01,1216,88.8,5120.0,219.0,-454.0,AMD
2006-09-01,1328,136,5285.0,230.0,-425.0,AMD
2006-12-01,1751,-576,6075.0,272.0,-647.0,AMD
2007-03-01,1233,-611,5508.0,41.0,-585.0,AMD
2007-06-01,1378,-600,4764.0,-635.0,-414.0,AMD
2007-09-01,1558,-396,4433.0,223.0,-378.0,AMD
2007-12-01,1861,-1772,3255.0,61.0,-235.0,AMD
2008-03-01,1487,-364,2826.0,16.0,-270.0,AMD
2008-06-01,1362,-1195,1663.0,-242.0,184.0,AMD
2008-09-01,1797,-134,1514.0,-216.0,-82.0,AMD
2008-12-01,1162,-1436,296.0,-250.0,-113.0,AMD
2009-03-01,1177,-408,926.0,-391.0,-84.0,AMD
2009-06-01,1184,-310,620.0,-144.0,-112.0,AMD
2009-09-01,1396,-106,508.0,-142.0,-97.0,AMD
2009-12-01,1646,1200,1724.0,1150.0,-173.0,AMD
2010-03-01,1574,257,796.0,23.0,-48.0,AMD
2010-06-01,1653,-43,752.0,-98.0,-31.0,AMD
2010-09-01,1618,-118,614.0,-124.0,-31.0,AMD
2010-12-01,1649,375,1013.0,-213.0,-38.0,AMD
2011-03-01,1613,510,1558.0,-168.0,-38.0,AMD
2011-06-01,1574,61,1641.0,174.0,-67.0,AMD
2011-09-01,1690,97,1744.0,189.0,-58.0,AMD
2011-12-01,1691,-177,1590.0,187.0,-87.0,AMD
2012-03-01,1585,-590,1052.0,107.0,-40.0,AMD
2012-06-01,1413,37,1117.0,81.0,-39.0,AMD
2012-09-01,1269,-157,989.0,-240.0,-32.0,AMD
2012-12-01,1155,-473,538.0,-286.0,-22.0,AMD
2013-03-01,1088,-146,415.0,-155.0,158.0,AMD
2013-06-01,1161,-74,359.0,-35.0,-25.0,AMD
2013-09-01,1461,48,434.0,21.0,42.0,AMD
2013-12-01,1589,89,544.0,21.0,-21.0,AMD
2014-03-01,1397,-20,511.0,-204.0,-21.0,AMD
2014-06-01,1441,-36,501.0,-28.0,-23.0,AMD
2014-09-01,1429,17,535.0,18.0,-29.0,AMD
2014-12-01,1239,-364,187.0,116.0,-22.0,AMD
2015-03-01,1030,-180,17.0,-172.0,-22.0,AMD
2015-06-01,942,-181,-141.0,-57.0,-17.0,AMD
2015-09-01,1061,-197,-336.0,-56.0,-25.0,AMD
